,Company Name,Industry,Symbol
491,Wipro Ltd.,Information Technology,WIPRO
492,Wockhardt Ltd.,Healthcare,WOCKPHARMA
493,Yes Bank Ltd.,Financial Services,YESBANK
494,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA
495,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL
496,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH
497,Zomato Ltd.,Consumer Services,ZOMATO
498,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE
499,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL
500,eClerx Services Ltd.,Services,ECLERX
